car_name,brand,model,vehicle_age,km_driven,transmission_type,mileage,engine,max_power,seats,selling_price,transmission_type_Encoded,seller_type_Dealer,seller_type_Owner,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol,fuel_type,seller_type,year,engine_mileage_ratio,power_engine_ratio,km_per_year,power_mileage_ratio
Honda City,Honda,City,14.0,77253,Manual,17.7,1497.0,78.0,5,145000,1,1,0,0,0,0,1,Petrol,Dealer,2012.0,84.57627118644068,0.052104208416833664,5518.071428571428,4.406779661016949
Hyundai i20,Hyunda,I20,3.0,25000,Manual,17.19,1197.0,81.86,5,700000,1,0,1,0,0,0,1,Petrol,Owner,2023.0,69.63350785340313,0.0683876357560568,8333.333333333334,4.762070971495055
Toyota Fortuner,Toyota,Fortuner,8.0,110000,Manual,13.0,2159.5,168.5,7,1150000,1,0,1,0,1,0,0,Diesel,Owner,2018.0,166.1153846153846,0.07802732113915258,13750.0,12.961538461538462
Renault KWID,Renault,Kwid,4.0,30000,Manual,23.01,999.0,67.0,5,340000,1,0,1,0,0,0,1,Petrol,Owner,2022.0,43.41590612777053,0.06706706706706707,7500.0,2.911777488048674
Honda Amaze,Honda,Amaze,5.0,39993,Manual,18.6,1199.0,88.76,5,465000,1,1,0,1,0,0,0,Cng,Dealer,2021.0,64.46236559139784,0.07402835696413679,7998.6,4.772043010752688
Hyundai Santro,Hyundai,Santro,12.0,80000,Manual,17.92,1086.0,62.1,5,125000,1,0,1,0,0,0,1,Petrol,Owner,2014.0,60.60267857142856,0.057182320441988954,6666.666666666667,3.4654017857142856
Mahindra XUV500,Mahindr,Xuv500,9.0,130000,Manual,15.1,2159.5,140.0,7,600000,1,0,1,0,1,0,0,Diesel,Owner,2017.0,143.01324503311258,0.06482982171799027,14444.444444444445,9.271523178807946
Maruti Swift Dzire,Maruti,Swift Dzire,8.0,90000,Manual,23.4,1197.0,74.0,5,380000,1,0,1,0,1,0,0,Diesel,Owner,2018.0,51.15384615384616,0.061821219715956555,11250.0,3.1623931623931627
Hyundai i20,Hyundai,I20,3.0,15000,Manual,22.54,1396.0,88.73,5,850000,1,0,1,0,1,0,0,Diesel,Owner,2023.0,61.934338952972496,0.06356017191977077,5000.0,3.9365572315882877
Hyundai i20,Hyundai,I20,3.0,40000,Manual,18.6,1197.0,81.83,5,598000,1,0,1,1,0,0,0,Cng,Owner,2023.0,64.35483870967741,0.06836257309941521,13333.333333333334,4.399462365591398
Honda City,Honda,City,6.0,31180,Manual,18.0,1497.0,117.3,5,700000,1,1,0,0,0,0,1,Petrol,Dealer,2020.0,83.16666666666667,0.0783567134268537,5196.666666666667,6.516666666666667
Maruti Swift Dzire,Maruti,Swift Dzire,7.0,56000,Manual,23.4,1248.0,74.0,5,410000,1,1,0,0,1,0,0,Diesel,Dealer,2019.0,53.333333333333336,0.05929487179487179,8000.0,3.1623931623931627
Maruti Baleno,Maruti,Baleno,5.0,52427,Automatic,21.4,1197.0,83.1,5,590000,0,1,0,0,0,0,1,Petrol,Dealer,2021.0,55.93457943925234,0.06942355889724311,10485.4,3.883177570093458
Mahindra Bolero,Mahindra,Bolero,1.0,40000,Manual,21.0,1498.0,74.96,7,850000,1,0,1,0,1,0,0,Diesel,Owner,2025.0,71.33333333333333,0.05004005340453938,40000.0,3.569523809523809
Mahindra KUV100,Mahindra,Kuv100,3.0,17000,Manual,18.15,1198.0,82.0,5,550000,1,0,1,0,0,0,1,Petrol,Owner,2023.0,66.00550964187329,0.06844741235392321,5666.666666666667,4.517906336088155
Maruti Baleno,Maruti,Baleno,5.0,22000,Manual,15.4,1590.0,94.0,5,625000,1,1,0,0,0,0,1,Petrol,Dealer,2021.0,103.24675324675324,0.05911949685534591,4400.0,6.103896103896104
Maruti Swift Dzire,Maruti,Swift Dzire,5.0,54000,Manual,20.85,1197.0,83.14,5,600000,1,0,1,0,0,0,1,Petrol,Owner,2021.0,57.41007194244604,0.06945697577276524,10800.0,3.9875299760191845
Maruti Wagon R,Maruti,Wagon R,2.0,10000,Manual,20.51,998.0,67.04,5,445000,1,0,1,1,0,0,0,Cng,Owner,2024.0,48.65919063871282,0.06717434869739479,5000.0,3.2686494392979033
Maruti Ignis,Maruti,Ignis,2.0,20000,Manual,20.89,1197.0,81.8,5,530000,1,0,1,0,0,0,1,Petrol,Owner,2024.0,57.30014360938248,0.0683375104427736,10000.0,3.915749162278602
Maruti Wagon R,Maruti,Wagon R,3.0,53237,Manual,26.6,1197.0,58.16,5,410000,1,0,0,1,0,0,0,Cng,Certified Dealer,2023.0,45.0,0.04858813700918964,17745.666666666668,2.186466165413534
Datsun RediGO,Maruti,Redigo,3.0,27263,Manual,22.5,999.0,68.0,5,350000,1,0,1,0,0,0,1,Petrol,Owner,2023.0,44.4,0.06806806806806807,9087.666666666666,3.022222222222222
Hyundai Verna,Hyundai,Verna,7.0,110000,Manual,22.32,1582.0,126.3,5,520000,1,0,1,0,1,0,0,Diesel,Owner,2019.0,70.87813620071684,0.07983565107458912,15714.285714285714,5.658602150537634
Hyundai i20,Hyundai,I20,5.0,70000,Manual,22.54,1197.0,88.73,5,750000,1,0,1,0,1,0,0,Diesel,Owner,2021.0,53.1055900621118,0.07412698412698412,14000.0,3.9365572315882877
Maruti Swift Dzire,Maruti,Swift Dzir3,4.0,70000,Manual,26.59,1248.0,74.0,5,560000,1,0,1,0,1,0,0,Diesel,Owner,2022.0,46.93493794659646,0.05929487179487179,17500.0,2.7830011282437006
Hyundai i20,Hyundai,I20,2.0,39000,Manual,18.6,1197.0,81.83,5,655000,1,1,0,0,0,0,1,Petrol,Dealer,2024.0,64.35483870967741,0.06836257309941521,19500.0,4.399462365591398
Hyundai Santro,Hyundai,Santro,14.0,56000,Manual,17.8,1086.0,63.0,5,125000,1,1,0,0,0,0,1,Petrol,Dealer,2012.0,61.01123595505618,0.058011049723756904,4000.0,3.539325842696629
Hyundai i20,Hyundai,I20,3.0,34000,Manual,18.6,1197.0,81.83,5,550000,1,0,1,0,0,0,1,Petrol,Owner,2023.0,64.35483870967741,0.06836257309941521,11333.333333333334,4.399462365591398
Mahindra Scorpio,Mahindra,Scorpio,4.0,50000,Manual,15.4,1997.0,120.0,7,1150000,1,0,1,0,1,0,0,Diesel,Owner,2022.0,129.67532467532467,0.06009013520280421,12500.0,7.792207792207792
Volkswagen Vento,Volkswagen,Vento,9.0,77400,Manual,20.54,1598.0,103.6,5,500000,1,1,0,0,1,0,0,Diesel,Dealer,2017.0,77.79941577409932,0.06483103879849812,8600.0,5.0438169425511195
Mahindra Marazzo,Mahindra,Marazzo,2.0,36000,Manual,17.3,1497.0,121.0,7,990000,1,0,1,0,1,0,0,Diesel,Owner,2024.0,86.53179190751445,0.08082832331329326,18000.0,6.99421965317919
Hyundai Verna,Hyundai,Verna,8.0,47876,Manual,25.0,1493.0,113.42,5,551000,1,1,0,0,1,0,0,Diesel,Dealer,2018.0,59.72,0.07596784996651039,5984.5,4.5368
Mahindra XUV500,Mahindr,Xuv500,3.0,21500,Automatic,15.1,2159.5,152.87,7,1650000,0,1,0,0,1,0,0,Diesel,Dealer,2023.0,143.01324503311258,0.0707895346144941,7166.666666666667,10.123841059602649
Hyundai Grand,Hyundai,Grand,6.0,75000,Manual,24.0,1120.0,70.0,5,350000,1,1,0,0,1,0,0,Diesel,Dealer,2020.0,46.666666666666664,0.0625,12500.0,2.9166666666666665
Ford Aspire,Ford,Aspire,4.0,58000,Manual,18.16,1196.0,86.8,5,500000,1,1,0,0,0,0,1,Petrol,Dealer,2022.0,65.85903083700441,0.0725752508361204,14500.0,4.779735682819383
Maruti Swift Dzire,Marut,Swift Dzir3,3.0,30000,Manual,21.21,1197.0,81.8,5,575000,1,0,1,1,0,0,0,Cng,Owner,2023.0,56.43564356435643,0.0683375104427736,10000.0,3.8566713814238565
Hyundai Grand,Hyundai,Grand,3.0,50000,Manual,24.0,1186.0,73.97,5,545000,1,1,0,0,1,0,0,Diesel,Dealer,2023.0,49.416666666666664,0.062369308600337264,16666.666666666668,3.0820833333333333
Ford Figo,Ford,Figo,4.0,19093,Manual,18.16,1196.0,86.8,5,525000,1,0,0,0,0,0,1,Petrol,Certified Dealer,2022.0,65.85903083700441,0.0725752508361204,4773.25,4.779735682819383
Honda Amaze,Hond,Amaze,7.0,50000,Manual,18.0,1198.0,86.7,5,400000,1,0,1,0,0,0,1,Petrol,Owner,2019.0,66.55555555555556,0.07237061769616027,7142.857142857143,4.816666666666666
