max_power,power_mileage_ratio,engine,engine_mileage_ratio,power_engine_ratio,seats,km_per_year,km_driven,vehicle_age,mileage,selling_price
46.3,2.350253807106599,796.0,40.40609137055838,0.0581658291457286,5,13333.333333333334,120000,9.0,19.7,120000
82.0,4.338624338624339,1197.0,63.333333333333336,0.0685045948203842,5,4000.0,20000,5.0,18.9,550000
80.0,4.705882352941177,1197.0,70.41176470588235,0.0668337510442773,5,5454.545454545455,60000,11.0,17.0,215000
67.1,3.2074569789674947,998.0,47.70554493307839,0.0672344689378757,5,4111.111111111111,37000,9.0,20.92,226000
98.59,4.329819938515591,1498.0,65.788317962231,0.0658144192256341,5,5000.0,30000,6.0,22.77,570000
67.1,3.5502645502645502,998.0,52.80423280423281,0.0672344689378757,5,4375.0,35000,8.0,18.9,350000
78.9,3.875245579567781,1197.0,58.7917485265226,0.0659147869674185,5,5000.0,40000,8.0,20.36,315000
100.59431352459016,4.9046471733101,998.0,48.65919063871282,0.1007959053352606,5,5837.333333333333,17512,3.0,20.51,410000
118.35,6.520661157024794,998.0,54.98622589531681,0.1185871743486974,5,10000.0,20000,2.0,18.15,1050000
85.0,5.120481927710843,1197.0,72.10843373493975,0.0710108604845446,5,7080.25,28321,4.0,16.6,511000
126.32,5.659498207885305,1582.0,70.87813620071684,0.0798482932996207,5,8159.75,65278,8.0,22.32,425000
108.45,5.521894093686354,1461.0,74.38900203665987,0.0742299794661191,5,10000.0,50000,5.0,19.64,750000
174.52500000000003,12.11138098542679,1998.0,138.65371269951422,0.0873498498498498,5,1500.0,6000,4.0,14.41,3250000
88.5,3.1505873976504093,1248.0,44.428622285510855,0.0709134615384615,5,15200.0,76000,5.0,28.09,650000
74.0,2.9365079365079367,1248.0,49.523809523809526,0.0592948717948717,5,4000.0,20000,5.0,25.2,627000
170.0,8.822003113648158,2143.0,111.20913336792944,0.0793280447970135,5,9285.714285714286,65000,7.0,19.27,1425000
100.59431352459016,3.542053293119372,1248.0,43.94366197183099,0.0806044178882934,5,8885.714285714286,62200,7.0,28.4,425000
100.6,7.744418783679753,2159.5,166.24326404926867,0.0465848576059272,8,13750.0,110000,8.0,12.99,605000
83.1,4.219882128949168,1197.0,60.78458373468296,0.0694235588972431,5,3333.333333333333,20000,6.0,19.692493169398904,600000
83.14,3.987529976019185,1197.0,57.41007194244604,0.0694569757727652,5,8000.0,40000,5.0,20.85,575000
103.2,6.413921690490988,1598.0,99.31634555624612,0.0645807259073842,5,5875.0,47000,8.0,16.09,425000
67.1,3.2074569789674947,998.0,47.70554493307839,0.0672344689378757,5,3125.0,25000,8.0,20.92,230000
126.2,6.408533389571421,1582.0,80.33518084232954,0.0797724399494311,5,7500.0,15000,2.0,19.692493169398904,1225000
117.3,6.741379310344828,1497.0,86.0344827586207,0.0783567134268537,5,8333.333333333334,50000,6.0,17.4,750000
63.0,3.199188617614893,1197.0,60.78458373468296,0.0526315789473684,7,2500.0,25000,10.0,19.692493169398904,350000
74.0,2.7830011282437006,1248.0,46.93493794659646,0.0592948717948717,5,15000.0,90000,6.0,26.59,600000
74.0,2.7830011282437006,1248.0,46.93493794659646,0.0592948717948717,5,5625.0,45000,8.0,26.59,390000
78.0,4.406779661016949,1497.0,84.57627118644068,0.0521042084168336,5,5518.071428571428,77253,14.0,17.7,145000
81.86,4.762070971495055,1197.0,69.63350785340313,0.0683876357560568,5,8333.333333333334,25000,3.0,17.19,700000
168.5,12.961538461538462,2159.5,166.1153846153846,0.0780273211391525,7,13750.0,110000,8.0,13.0,1150000
67.0,2.911777488048674,999.0,43.41590612777053,0.067067067067067,5,7500.0,30000,4.0,23.01,340000
88.76,4.772043010752688,1199.0,64.46236559139784,0.0740283569641367,5,7998.6,39993,5.0,18.6,465000
62.1,3.4654017857142856,1086.0,60.60267857142856,0.0571823204419889,5,6666.666666666667,80000,12.0,17.92,125000
140.0,9.271523178807946,2159.5,143.01324503311258,0.0648298217179902,7,14444.444444444443,130000,9.0,15.1,600000
74.0,3.1623931623931627,1197.0,51.15384615384616,0.0618212197159565,5,11250.0,90000,8.0,23.4,380000
88.73,3.936557231588288,1396.0,61.934338952972496,0.0635601719197707,5,5000.0,15000,3.0,22.54,850000
81.83,4.399462365591398,1197.0,64.35483870967741,0.0683625730994152,5,13333.333333333334,40000,3.0,18.6,598000
117.3,6.516666666666667,1497.0,83.16666666666667,0.0783567134268537,5,5196.666666666667,31180,6.0,18.0,700000
74.0,3.1623931623931627,1248.0,53.333333333333336,0.0592948717948717,5,8000.0,56000,7.0,23.4,410000
83.1,3.883177570093458,1197.0,55.93457943925234,0.0694235588972431,5,10485.4,52427,5.0,21.4,590000
74.96,3.569523809523809,1498.0,71.33333333333333,0.0500400534045393,7,40000.0,40000,1.0,21.0,850000
82.0,4.517906336088155,1198.0,66.00550964187329,0.0684474123539232,5,5666.666666666667,17000,3.0,18.15,550000
94.0,6.103896103896104,1590.0,103.24675324675324,0.0591194968553459,5,4400.0,22000,5.0,15.4,625000
83.14,3.987529976019185,1197.0,57.41007194244604,0.0694569757727652,5,10800.0,54000,5.0,20.85,600000
67.04,3.2686494392979037,998.0,48.65919063871282,0.0671743486973947,5,5000.0,10000,2.0,20.51,445000
81.8,3.915749162278602,1197.0,57.30014360938248,0.0683375104427736,5,10000.0,20000,2.0,20.89,530000
58.16,2.186466165413534,1197.0,45.0,0.0485881370091896,5,17745.666666666668,53237,3.0,26.6,410000
68.0,3.022222222222222,999.0,44.4,0.068068068068068,5,9087.666666666666,27263,3.0,22.5,350000
126.3,5.658602150537634,1582.0,70.87813620071684,0.0798356510745891,5,15714.285714285714,110000,7.0,22.32,520000
88.73,3.936557231588288,1197.0,53.1055900621118,0.0741269841269841,5,14000.0,70000,5.0,22.54,750000
74.0,2.7830011282437006,1248.0,46.93493794659646,0.0592948717948717,5,17500.0,70000,4.0,26.59,560000
81.83,4.399462365591398,1197.0,64.35483870967741,0.0683625730994152,5,19500.0,39000,2.0,18.6,655000
63.0,3.539325842696629,1086.0,61.01123595505618,0.0580110497237569,5,4000.0,56000,14.0,17.8,125000
81.83,4.399462365591398,1197.0,64.35483870967741,0.0683625730994152,5,11333.333333333334,34000,3.0,18.6,550000
120.0,7.792207792207792,1997.0,129.67532467532467,0.0600901352028042,7,12500.0,50000,4.0,15.4,1150000
103.6,5.04381694255112,1598.0,77.79941577409932,0.0648310387984981,5,8600.0,77400,9.0,20.54,500000
121.0,6.99421965317919,1497.0,86.53179190751445,0.0808283233132932,7,18000.0,36000,2.0,17.3,990000
113.42,4.5368,1493.0,59.72,0.0759678499665103,5,5984.5,47876,8.0,25.0,551000
152.87,10.123841059602649,2159.5,143.01324503311258,0.0707895346144941,7,7166.666666666667,21500,3.0,15.1,1650000
70.0,2.9166666666666665,1120.0,46.66666666666666,0.0625,5,12500.0,75000,6.0,24.0,350000
86.8,4.779735682819383,1196.0,65.85903083700441,0.0725752508361204,5,14500.0,58000,4.0,18.16,500000
81.8,3.856671381423857,1197.0,56.43564356435643,0.0683375104427736,5,10000.0,30000,3.0,21.21,575000
73.97,3.0820833333333333,1186.0,49.41666666666666,0.0623693086003372,5,16666.666666666668,50000,3.0,24.0,545000
86.8,4.779735682819383,1196.0,65.85903083700441,0.0725752508361204,5,4773.25,19093,4.0,18.16,525000
86.7,4.816666666666666,1198.0,66.55555555555556,0.0723706176961602,5,7142.857142857143,50000,7.0,18.0,400000
64.0,4.571428571428571,1061.0,75.78571428571429,0.060320452403393,5,2642.8571428571427,37000,14.0,14.0,155000
74.0,3.7577771064047942,1248.0,63.37440309179978,0.0592948717948717,5,9400.0,47000,5.0,19.692493169398904,545000
116.3,5.9058037496605085,1497.0,76.01881524713484,0.077688710754843,5,8750.0,70000,8.0,19.692493169398904,545000
53.3,2.1176003178386966,799.0,31.744139849026617,0.0667083854818523,5,5000.0,25000,5.0,25.17,240000
100.59431352459016,4.139683684139513,1248.0,51.358024691358025,0.0806044178882934,5,8666.666666666666,26000,3.0,24.3,725000
100.59431352459016,5.108256870232583,1196.0,60.73380296297479,0.08410895779648,5,7500.0,30000,4.0,19.692493169398904,480000
82.9,4.481081081081081,1197.0,64.70270270270271,0.0692564745196324,5,1875.0,15000,8.0,18.5,375000
75.0,4.213483146067415,1248.0,70.11235955056179,0.0600961538461538,5,13000.0,130000,10.0,17.8,225000
84.0,3.523489932885906,1197.0,50.20973154362416,0.0701754385964912,5,8025.0,32100,4.0,23.84,400000
82.9,4.481081081081081,1197.0,64.70270270270271,0.0692564745196324,5,4400.0,22000,5.0,18.5,550000
120.0,6.093692604980748,2159.5,109.66107650379938,0.0555684186154202,7,8800.0,44000,5.0,19.692493169398904,1050000
74.0,3.940362087326944,1198.0,63.7912673056443,0.0617696160267111,5,15600.0,78000,5.0,18.78,450000
174.52500000000003,14.865843270868828,1796.0,152.98126064735945,0.097174276169265,5,8261.333333333334,74352,9.0,11.74,775000
67.04,3.2686494392979037,998.0,48.65919063871282,0.0671743486973947,5,5285.714285714285,37000,7.0,20.51,350000
98.6,3.928286852589641,1498.0,59.6812749003984,0.0658210947930574,5,17250.0,69000,4.0,25.1,550000
113.4,6.75,1497.0,89.10714285714285,0.075751503006012,5,6060.0,12120,2.0,16.8,1080000
81.8,3.893384102808186,1197.0,56.97287006187529,0.0683375104427736,5,10400.0,52000,5.0,21.01,575000
